"","prof","ein","fisyr","Accrual","age","FS_Totrev_adj","UNAgrand","HHI","GovtMoneyRat","FixedCostRat","EqRat_w","SurplusRat_ndrop_w892","ProfFundFeeYes","Subsector2","FY1998","FY1999","FY2000","FY2001","FY2002","FY2003","JustNowProfessionalized","waffle","D1","D2","D3","D4","D5","D6","AGE","Age2","Age3","Age4","Age5","EqRat_w_K"
"449",0,30348518,2002,0,4,48278.118609407,465.532719836401,0.501101364647769,0,0.218978102189781,455291,-0.0938650076250114,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,455.291
"450",0,30348518,2003,0,5,41211,464.559,0.346099287590556,0,0.321445428285536,464559,-0.285232456566049,0,"Human Svcs",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,464.559
"451",0,30348923,2000,0,2,28876.0683760684,0,1,0,0,2716,0.0466513369227705,0,"Edu(Exclu Higher)",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,2.716
"452",0,30348923,2001,1,3,33696.7808930426,0,1,0,0.0890562547484557,19049,0.0671155121036007,0,"Edu(Exclu Higher)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,19.049
"453",0,30348923,2002,1,4,77055.2147239264,0,0.759740988094509,0,0.526572525507521,1.07038385386728,-0.00922257139497308,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.00107038385386728
"454",1,30348923,2003,1,5,116272,36.326,0.824541087796382,0,0.0473118470929508,2.29978172970265,0.033464346838905,0,"Edu(Exclu Higher)",0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,36,216,1296,7776,0.00229978172970265
"455",0,30348974,1998,0,0,89672.6862302483,62.2923250564334,0.891800787116901,0,0.0400974479811494,55191,0.379844050940117,0,"Other",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,55.191
"456",0,30348974,1999,0,1,38748.0662983425,80.6099447513812,0.737355739259558,0,0.0577867668303958,72952,0.379844050940117,0,"Other",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,72.952
"457",0,30348974,2002,0,4,46116.5644171779,67.461145194274,0.363599480434871,0.51829187175735,0.0558469308469308,43.2923076923077,0.0868895619264874,0,"Other",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,0.0432923076923077
"458",0,30348974,2003,0,5,4610,0,0.957557135530136,0,0,44.514233241506,-6.76835413597953,0,"Other",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.044514233241506
"459",0,30349148,2001,0,3,7571.13187954309,0,0.572712950126078,0,0,6666,-4.96615753535776,0,"Other",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,6.666
"460",0,30349148,2002,0,4,4291.41104294479,0,0.574929156328703,0,0,25379,-6.76835413597953,0,"Other",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,25.379
"461",0,30349148,2003,0,5,0,0,1,0,0,43745,-6.76835413597953,0,"Other",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,43.745
"462",0,30350060,1998,1,0,0,0,0,0,0,5.23083147885899,-6.76835413597953,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.00523083147885899
