"","prof","ein","fisyr","Accrual","age","FS_Totrev_adj","UNAgrand","HHI","GovtMoneyRat","FixedCostRat","EqRat_w","SurplusRat_ndrop_w892","ProfFundFeeYes","Subsector2","FY1998","FY1999","FY2000","FY2001","FY2002","FY2003","JustNowProfessionalized","waffle","D1","D2","D3","D4","D5","D6","AGE","Age2","Age3","Age4","Age5","EqRat_w_K"
"6651",0,223462579,1998,0,0,11846.5011286682,0,0.727864220267935,0,0,7.92638036809816,-3.92326962491543,0,"Other",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.00792638036809816
"6652",0,223462579,1999,0,1,0,0,1,0,0.309935332157554,8.15643802647413,-6.76835413597953,0,"Other",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.00815643802647413
"6653",0,223462579,2000,0,2,0,0,1,0,0.245601767400381,10.385759351059,-6.76835413597953,0,"Other",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.010385759351059
"6654",0,223462579,2001,0,3,0,0,1,0,0.257726671832976,40097,-6.76835413597953,0,"Other",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,40.097
"6655",0,223462579,2002,0,4,0,0,1,0,0.168482122866961,54462,-6.76835413597953,0,"Other",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,54.462
"6656",0,223462579,2003,0,5,0,0,1,0,0.236113037791562,56931,-6.76835413597953,0,"Other",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,56.931
"6663",0,223464541,2001,0,3,64766.3551401869,8.86396677050883,0.621157931730322,0.253872053872054,0.0156234682874228,8536,-0.30842937281568,0,"Public",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,8.536
"6664",0,223464541,2002,0,4,47251.5337423313,4.68302658486708,0.880954884825154,0,0.170068569606123,4580,-0.085582495895417,0,"Public",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,4.58
"6665",0,223464541,2003,0,5,89482,20.75,0.562481571409014,0,0.0553524661719773,1.18934506264658,0.180715890169082,0,"Public",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.00118934506264658
"6672",0,223468258,2002,0,4,23646.2167689162,0,1,0,0,55544,-0.261513717875288,0,"Edu(Exclu Higher)",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,55.544
"6678",0,223468288,2001,0,3,47853.5825545171,41.3894080996885,1,0,0,39858,0.379844050940117,0,"Human Svcs",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,39.858
"6679",0,223468288,2002,0,4,0,0,0,0,0,56779,-6.76835413597953,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,56.779
"6680",0,223468288,2003,0,5,0,0,0,0,0,48601,-6.76835413597953,0,"Human Svcs",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,48.601
"6681",0,223469621,1998,0,0,20327.3137697517,0,1,0,0,43294,0.105318861048812,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,43.294
"6682",0,223469621,2000,0,2,43961.5384615385,80.3472222222222,0.873208693948252,0,0.0030511060259344,75205,0.203503099083777,0,"Human Svcs",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,75.205
"6683",0,223469621,2001,0,3,34457.9439252336,71.7528556593977,0.855419290789,0,0,69098,-0.181624991565956,0,"Human Svcs",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,69.098
"6689",0,223470254,1998,0,0,51944.6952595937,0,0.377174722949343,0,0.125133446507639,32148,-0.241507507645052,0,"Arts",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,32.148
"6690",0,223470254,1999,0,1,61818.7845303867,0,0.435913402785895,0,0.125840898700281,26850,-0.0946807513302122,0,"Arts",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,26.85
"6691",0,223470254,2000,0,2,67314.1025641026,0,0.55085002860866,0,0.154492100989222,9.49107355391573,0.140031186407795,0,"Arts",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.00949107355391574
"6692",0,223470254,2001,0,3,65015.5763239875,0,0.609791306511528,0,0.136341903952401,22986,-0.202600892754197,0,"Arts",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,22.986
"6693",0,223470254,2002,0,4,63237.2188139059,0,0.492767687639094,0,0.148337857911182,26263,0.053001425550655,0,"Arts",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,26.263
"6694",0,223470254,2003,0,5,83195,0,0.657424761921907,0,0.0590052105900521,19449,-0.0818909562959758,0,"Arts",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,19.449
"6706",0,223470887,1999,0,1,30113.8121546961,0,1,0,0,26684,0.224991794753816,0,"Edu(Exclu Higher)",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,26.684
"6707",0,223470887,2000,0,2,57457.264957265,11.2735042735043,0.978736037526548,0,0,10552,-0.29994018698373,0,"Edu(Exclu Higher)",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,10.552
"6708",0,223470887,2001,0,3,42057.1131879543,7.398753894081,0.984857534250796,0,0,7125,-0.0845894061974231,0,"Edu(Exclu Higher)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,7.125
"6709",0,223470887,2002,0,4,97325.1533742331,25.8435582822086,0.993382271891907,0,0,25275,0.190691623629939,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,25.275
"6710",0,223470887,2003,0,5,89725,19.743,0.989093292692347,0,0,19743,-0.061643224929229,0,"Edu(Exclu Higher)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,19.743
"6711",0,223471917,1999,0,1,0,0,0,0,0,0,-6.76835413597953,0,"Edu(Exclu Higher)",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0
"6712",0,223471917,2000,0,2,0,0,0,0,0,2504,-6.76835413597953,0,"Edu(Exclu Higher)",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,2.504
"6713",0,223471917,2001,0,3,0,0,0,0,0,5698,-6.76835413597953,0,"Edu(Exclu Higher)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,5.698
"6714",0,223471917,2002,0,4,0,0,0,0,0,5320,-6.76835413597953,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,5.32
"6715",0,223471917,2003,0,5,0,0,0,0,0,16056,-6.76835413597953,0,"Edu(Exclu Higher)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,16.056
"6719",0,223472774,1998,0,0,0,0,0,0,0,499,-6.76835413597953,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.499
"6720",0,223472774,1999,0,1,1342.54143646409,0,1,0,0,41183,-6.76835413597953,0,"Human Svcs",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,41.183
"6721",1,223472774,2000,0,2,107077.991452991,67.4957264957265,0.500325034549042,0.572102768770267,0.0148450207326293,63176,0.379844050940117,0,"Human Svcs",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,63.176
"6725",0,223475867,2001,0,3,55661.4745586708,49.318795430945,0.66090224364953,0,0,47494,0.379844050940117,0,"Arts",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,47.494
"6726",0,223475867,2002,1,4,33639.0593047035,0,0.61892798278133,0,0,6.70327740928599,-0.679575591205562,0,"Arts",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.00670327740928599
"6727",0,223477871,1998,1,0,0,0,0,0,0,0,-6.76835413597953,0,"Health",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0
"6728",0,223477992,1999,1,1,23887.2928176796,0,0.992167102621015,0,0,7730,-0.336099122504123,0,"Human Svcs",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,7.73
"6729",0,223477992,2001,1,3,15660.4361370717,0,1,0,0,44223,-0.538990647304996,0,"Human Svcs",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,44.223
"6730",0,223477992,2002,1,4,28199.3865030675,0,0.999637471009596,0,0,43625,-0.772408955511132,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,43.625
"6731",0,223477992,2003,1,5,24483,0,1,0,0,27413,-1.0553831073354,0,"Human Svcs",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,27.413
"6732",0,223478149,1998,0,0,48589.164785553,0,1,0,0,2097,-0.147339917696467,0,"Edu(Exclu Higher)",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,2.097
"6733",0,223478149,1999,0,1,41625.4143646409,0,1,0,0,1832,-0.00701039673995772,0,"Edu(Exclu Higher)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,1.832
"6734",0,223478149,2000,0,2,57782.0512820513,9.68696581196581,1,0,0,9067,0.133788380557573,0,"Edu(Exclu Higher)",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,9.067
"6735",0,223478149,2001,0,3,65988.5773624091,14.7694704049844,1,0,0,14223,0.0811507207555968,0,"Edu(Exclu Higher)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,14.223
"6736",0,223478149,2002,0,4,70591.0020449898,19.8967280163599,1,0,0,19459,0.0758553812891031,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,19.459
"6737",0,223478149,2003,0,5,60224,4.901,1,0,0,4901,-0.241710253217103,0,"Edu(Exclu Higher)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,4.901
"6750",0,223481111,1998,0,0,39531.6027088036,0,0.975469097478552,0,0,8369,0.166330867404753,0,"Edu(Exclu Higher)",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,8.369
"6751",0,223481111,1999,0,1,46748.0662983425,0,0.981779693039461,0,0,4150,-0.099699926054008,0,"Edu(Exclu Higher)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,4.15
"6752",0,223481111,2000,0,2,43716.8803418803,0,0.978821006592005,0,0,2292,-0.0453828666789704,0,"Edu(Exclu Higher)",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,2.292
"6753",0,223481111,2001,0,3,55500.5192107996,0,0.977470736599513,0,0,2093,-0.00370523007584027,0,"Edu(Exclu Higher)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,2.093
"6754",0,223481111,2002,0,4,49586.9120654397,0,0.974998917623575,0,0,6844,0.0979850332117602,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,6.844
"6755",0,223481111,2003,0,5,50597,0,0.977220687874304,0,0,5021,-0.0360093284319538,0,"Edu(Exclu Higher)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,5.021
"6762",0,223482414,1998,1,0,33027.0880361174,9.20767494356659,0.98736807355554,0,0,10.2904328018223,0.278813443075984,0,"Edu(Exclu Higher)",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.0102904328018223
"6763",0,223482414,1999,1,1,51250.8287292818,20.6596685082873,0.966307037842102,0,0,3.89815532475585,0.227236845126453,0,"Edu(Exclu Higher)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.00389815532475585
"6764",0,223482414,2000,1,2,46544.8717948718,35.2574786324786,0.937279702553865,0,0,31.4147465437788,0.328343861500841,0,"Edu(Exclu Higher)",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.0314147465437788
"6765",0,223482414,2001,1,3,26538.9408099688,28.6656282450675,0.873713055676173,0,0,3.13868443480282,-0.211090257858187,0,"Edu(Exclu Higher)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.00313868443480282
"6766",0,223482414,2002,1,4,30344.5807770961,36.3006134969325,0.948432613356364,0,0,71.8602794411178,0.266122510098228,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.0718602794411178
"6767",0,223482414,2003,1,5,28196,17.186,0.966463715042873,0,0,17186,-0.649537184806894,0,"Edu(Exclu Higher)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,17.186
"6768",0,223483149,2000,0,2,56076.9230769231,0,1,0,0,0,-0.577437195526311,0,"Arts",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,0
"6769",0,223483149,2001,0,3,56670.8203530633,0,1,0,0,0,-0.754174345477797,0,"Arts",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0
"6770",0,223483149,2002,0,4,0,0,0,0,0,0.882631073889907,-6.76835413597953,0,"Arts",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.000882631073889907
"6771",0,223483149,2003,0,5,0,0,0,0,0,0,-6.76835413597953,0,"Arts",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0
"6772",0,223484753,1998,0,0,30158.0135440181,26.9751693002257,0.83526771307684,0.909431137724551,0,23900,0.379844050940117,0,"Other",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,23.9
"6773",0,223484753,2000,0,2,55894.2307692308,10.0299145299145,0.522285494405836,0.611655867117763,0,3.16702508960573,0.295155680453449,0,"Other",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,0.00316702508960573
"6774",1,223484753,2001,1,3,162276.220145379,20.3686396677051,0.579096245740665,0.70991604382103,0.0115366075732419,30.4675735526732,0.379844050940117,0,"Other",0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,16,64,256,1024,0.0304675735526732
"6775",0,223485259,1998,1,0,34220.0902934537,22.3081264108352,0.975247382173709,0,0.0244423858048885,5.01444595513256,0.379844050940117,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.00501444595513256
"6776",1,223485259,1999,1,1,275068.508287293,127.386740331492,0.501067758134639,0.543707845760172,0.326806278066782,21.1334264757248,0.0965216807781844,0,"Human Svcs",0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,4,8,16,32,0.0211334264757248
"6777",0,223486121,2001,0,3,64333.3333333333,5.47144340602285,0.995490658042718,0,0,5269,0.0850625649242164,0,"Public",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,5.269
"6778",0,223486121,2002,0,4,63523.5173824131,11.2750511247444,0.993166476964857,0,0,11027,0.092696895702862,0,"Public",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,11.027
"6779",0,223486121,2003,1,5,60562,0,0.998877814070767,0,0,7.94996265870052,-0.0220761851295345,0,"Public",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.00794996265870052
"6781",0,223486669,1999,0,1,31579.0055248619,0,0.423121239775781,0,0,7689,-0.232369386812167,1,"Human Svcs",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,7.689
"6782",0,223486669,2000,0,2,30068.3760683761,0,0.516499408189979,0,0,0,-0.0681139939348237,0,"Human Svcs",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0
"6783",0,223486669,2001,0,3,28993.769470405,0,0.635701691563266,0,0,14495,0.0873850810560849,0,"Human Svcs",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,14.495
"6784",0,223486669,2002,0,4,28155.4192229039,0,0.614794546808049,0,0,20448,0.198641187133897,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,20.448
"6785",0,223486669,2003,0,5,25813,0,0.691717291207296,0,0,29559,0.223483381111025,0,"Human Svcs",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,29.559
"6802",0,223490930,1998,0,0,55177.2009029345,0,0.829518477508743,0,0,6133,0.0608102792581376,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,6.133
"6803",0,223490930,1999,0,1,44060.773480663,0,0.569019518283036,0,0,8187,0.0515324981338981,0,"Human Svcs",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,8.187
"6804",0,223490930,2000,0,2,37756.4102564103,0,0.568913543877585,0,0,7121,-0.0301368362173541,0,"Human Svcs",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,7.121
"6805",0,223490930,2001,0,3,51695.7424714434,0,0.625920677489093,0,0,9327,0.044330801868867,0,"Human Svcs",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,9.327
"6806",0,223490930,2002,0,4,53672.8016359918,0,0.614796543764093,0,0,18480,0.0919547372602865,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,18.48
"6807",0,223490930,2003,0,5,59308,0,0.547178577486713,0,0,21448,0.050059856008363,0,"Human Svcs",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,21.448
"6808",0,223491286,2000,0,2,55074.7863247863,0,1,0,0.00945251058681186,28760,0.379844050940117,0,"Human Svcs",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,28.76
"6809",0,223491286,2003,0,5,26730,0,1,0,0,12375,-0.355093337323707,0,"Human Svcs",0,0,0,0,0,1,NA,0,0,0,0,0,0,1,6,36,216,1296,7776,12.375
"6812",0,223492162,1998,0,0,48147.855530474,0,0.810392722940364,0,0,38171,0.177939669130855,0,"Edu(Exclu Higher)",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,38.171
"6813",0,223492162,2000,0,2,62816.2393162393,0,0.854621898418213,0,0,65825,0.379844050940117,0,"Edu(Exclu Higher)",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,65.825
"6814",0,223492162,2001,0,3,44494.2886812046,0,0.802319904266906,0,0,40401,-0.617355360501957,0,"Edu(Exclu Higher)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,40.401
"6815",0,223492162,2002,0,4,49256.6462167689,0,0.793894724367405,0,0,35988,-0.103936237111247,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,35.988
"6816",0,223492162,2003,0,5,46117,0,0.795897764846263,0,0,34642,-0.037469101001778,0,"Edu(Exclu Higher)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,34.642
"6817",0,223493410,2001,0,3,78300.1038421599,613.939771547248,1,0,0,591224,-0.631174212952176,0,"Edu(Exclu Higher)",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,591.224
"6818",0,223493410,2002,0,4,56946.8302658487,445.152351738241,1,0,0,435359,-0.780986429333,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,435.359
"6819",1,223493410,2003,0,5,461494,0,1,0,0,0,-0.767063565152385,0,"Edu(Exclu Higher)",0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,36,216,1296,7776,0
"6826",0,223494366,1998,0,0,95023.7020316027,44.2110609480813,0.998789202979857,0,0,39171,0.379844050940117,1,"Edu(Exclu Higher)",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,39.171
"6827",0,223494366,1999,0,1,70083.9779005525,47.724861878453,0.992585946636703,0,0,43191,0.0633943119248844,0,"Edu(Exclu Higher)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,43.191
"6828",1,223494366,2000,0,2,1042174.14529915,1023.65598290598,0.982486762220558,0,0,958142,0.379844050940117,0,"Edu(Exclu Higher)",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,958.142
"6834",0,223496033,1998,0,0,7560.94808126411,0,1,0,0,0,-3.79918613540589,0,"Arts",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0
"6835",0,223496033,1999,0,1,9770.16574585635,0,1,0,0,5424,-3.8493113971031,0,"Arts",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,5.424
"6836",0,223498962,1998,0,0,46797.9683972912,0,1,0,0,0,0.379844050940117,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0
"6837",0,223499608,1999,0,1,25033.1491712707,0,0.595711046091189,0,0,0,-0.0480711320073067,0,"Other",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0
"6838",0,223500269,2001,0,3,17427.8296988577,0,1,0,0,13716,-0.531998134171292,0,"Edu(Exclu Higher)",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,13.716
"6839",0,223500269,2002,0,4,19939.672801636,0,0.774569341278424,0,0,16298,-0.378937049359814,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,16.298
"6840",0,223500269,2003,0,5,25829,0,0.806692848076218,0,0,0,-0.26260162601626,0,"Edu(Exclu Higher)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0
"6846",0,223501721,2002,0,4,20466.2576687117,0,1,0,0,30792,-0.875657754132517,0,"Public",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,30.792
"6847",0,223501721,2003,0,5,41819,17.304,0.961611102529209,0,0,17304,-0.322501195600191,0,"Public",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,17.304
"6848",0,223501934,1998,1,0,0,0,0,0,0,12.8529411764706,-6.76835413597953,0,"Public",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.0128529411764706
"6849",0,223501934,1999,1,1,0,0,0,0,0,4.02947744528807,-6.76835413597953,0,"Public",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.00402947744528807
"6850",0,223501934,2000,1,2,0,0,0,0,0,7.51500189897455,-6.76835413597953,0,"Public",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.00751500189897455
"6851",0,223501934,2001,1,3,0,0,0,0,0,2.04309648768672,-6.76835413597953,0,"Public",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.00204309648768672
"6852",0,223501934,2002,1,4,132.924335378323,0,1,0,0,5.072816791915,-6.76835413597953,0,"Public",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.005072816791915
"6853",0,223501934,2003,1,5,11633,0,1,0,0,9.8104967948718,-3.00395392814165,0,"Public",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.0098104967948718
"6864",0,223505533,2002,0,4,51327.1983640082,0,0.714960421736497,0,0,89.549815498155,-0.699576433607871,0,"Edu(Exclu Higher)",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,0.089549815498155
"6865",1,223505533,2003,0,5,127772,46.946,0.508267491281363,0,0.00796855284868485,264.73595505618,0.193648110320647,0,"Edu(Exclu Higher)",0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,36,216,1296,7776,0.26473595505618
"6866",0,223505789,1998,0,0,29620.7674943567,0,1,0,0,0,-1.46859521508304,0,"Health",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0
"6867",0,223505789,1999,0,1,33106.0773480663,0,1,0,0,3344,-1.32164810615346,0,"Health",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,3.344
"6868",0,223505789,2000,0,2,28214.7435897436,0,1,0,0,852,-1.82189248773643,0,"Health",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.852
"6869",0,223505789,2001,0,3,31015.5763239875,0,1,0,0,790,-1.12812878706234,0,"Health",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.79
"6870",0,223505789,2002,0,4,27842.5357873211,0,1,0,0,435,-1.42018483508011,0,"Health",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.435
"6871",0,223505789,2003,0,5,24150,0,1,0,0,0,-1.90956896194775,0,"Health",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0
"6872",0,223510094,1999,1,1,10017.6795580111,0,0.7825375779094,0,0,4.83904191616766,-5.74320509589546,0,"Arts",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0.00483904191616766
"6873",0,223510094,2002,1,4,20394.6830265849,0,0.710451520570128,0,0,6.35570209464701,-2.13270511452913,0,"Arts",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,0.00635570209464701
"6874",0,223510094,2003,1,5,29652,0,0.665320517386664,0,0,2.29861274394545,-1.56456345057836,0,"Arts",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.00229861274394545
"6875",0,223510328,2001,1,3,91048.805815161,43.0633437175493,0.672830236454143,0.798357664233577,0.0864827141936869,41470,0.3626438614731,0,"Public",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,41.47
"6884",0,223511336,1999,1,1,25668.5082872928,0,0.829575531810607,0,0,6.57692307692308,-0.942455534986691,0,"Arts",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0.00657692307692308
"6885",0,223511576,2001,1,3,26978.1931464174,1.51921079958463,1,0,0.230854683052142,1463,-0.108734884076468,0,"Arts",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,1.463
"6886",0,223511576,2003,1,5,30501,7.924,0.998623944037398,0,0.325026647553938,7924,0.108025703232575,0,"Arts",0,0,0,0,0,1,NA,0,0,0,0,0,0,1,6,36,216,1296,7776,7.924
"6887",0,223511801,2002,0,4,0,0,0,0,0,400,-6.76835413597953,0,"Other",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,0.4
"6888",1,223511801,2003,1,5,348013,136.164,1,0,0.0445269813325891,129.70372792675,0.379844050940117,0,"Other",0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,36,216,1296,7776,0.12970372792675
"6889",0,223512206,2000,1,2,12820.5128205128,0,1,1,0,0,-6.76835413597953,0,"Human Svcs",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,0
"6890",1,223512206,2001,1,3,213748.701973001,0,0.540855994467949,0.642926544889234,0.0262339681305869,0,4.67836909604819e-06,0,"Human Svcs",0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,16,64,256,1024,0
"6891",0,223512310,1999,0,1,57089.5027624309,157.159116022099,0.783089311393994,0,0,142229,0.379844050940117,0,"Public",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,142.229
